Global_active_power,Global_reactive_power,Voltage,Global_intensity,Sub_metering_1,Sub_metering_2,Sub_metering_3
1.74,0,245.31,7,2,0,18
0.104,0,237.04,0.4,0,0,0
4.118,0,238.98,17.2,38,0,0
0.57,0.086,240.08,2.4,0,1,0
0.692,0,242.11,2.8,0,0,0
0.452,0,239.82,1.8,0,0,0
3.586,0.4,235.04,15.2,1,0,17
0.274,0,242.5,1.2,0,0,0
0.08,0,239.43,0.2,0,0,1
1.32,0.054,238.99,5.4,0,0,19
0.308,0.21,239.07,1.6,0,1,0
3.198,0.098,240.86,13.2,0,0,0
0.238,0,243.21,1,0,0,0
1.762,0.046,231.7,7.6,0,0,16
1.242,0.092,242.45,5.2,0,0,0
2.412,0.046,240.19,10,0,0,0
1.304,0.114,241.05,5.4,0,0,19
1.69,0.072,238.79,7,0,0,0
1.348,0.086,237.28,5.6,0,0,18
0.324,0.06,242,1.4,0,1,1
0.32,0,241.83,1.4,0,0,0
0.1,0,233.64,0.4,0,0,0
1.774,0.076,239.68,8.2,1,5,18
0.3,0.122,244.91,1.4,0,0,0
0.078,0,237.62,0.2,0,0,0
1.502,0.066,236.83,6.4,0,0,17
3.796,0.078,237.49,16,38,1,17
1.028,0.502,244.95,4.6,0,0,1
0.19,0.076,237.99,0.8,0,0,0
4.068,0.156,231.68,17.6,0,1,17
2.362,0.498,238.97,10,1,1,17
0.212,0,242.18,0.8,0,0,0
0.222,0,238.71,1,0,0,0
1.558,0.09,239.16,6.4,0,0,0
0.27,0,242.87,1,0,0,0
1.48,0,238.08,6.2,0,0,18
1.728,0.138,241.14,7.2,1,1,0
1.428,0.05,242.63,5.8,0,0,19
0.242,0.104,237.81,1,0,0,1
0.96,0.098,238.14,4,0,0,0
0.394,0.12,242.12,1.8,0,2,0
0.37,0.114,239.52,1.6,0,0,1
2.104,0.138,232.52,9,0,0,17
1.268,0,240.96,5.2,0,0,18
1.31,0,243.07,5.4,0,0,18
1.966,0.062,239.51,8.2,0,0,18
1.286,0.17,241.01,5.4,0,0,11
0.318,0.232,244.01,1.6,0,0,0
0.478,0.058,241.74,2,1,0,1
0.222,0,241.41,1,0,0,0
3.158,0.232,235,13.4,0,0,18
4.072,0.08,236.16,17.2,0,36,0
0.304,0,234.83,1.2,0,0,0
0.23,0.13,241.46,1,0,0,0
0.236,0,242.66,1,0,0,0
0.306,0.074,243.13,1.2,0,0,0
0.602,0.416,239.46,3,0,0,1
0.298,0.086,243.23,1.2,0,0,0
0.378,0.184,235.19,1.8,0,1,0
0.348,0.108,244.28,1.6,0,0,1
0.328,0.142,244.96,1.4,0,0,0
0.204,0.05,234.91,0.8,0,0,0
0.158,0.12,239.58,0.8,0,0,0
0.564,0,237.83,2.4,0,0,0
0.478,0.112,239.54,2,0,0,0
1.418,0.102,241.34,5.8,0,0,19
0.928,0.426,239.67,4.4,0,0,1
0.45,0,243.49,1.8,0,0,1
0.278,0.08,244.06,1.2,0,0,1
1.304,0,238.05,5.4,0,0,17
3.726,0.154,236.25,15.8,0,37,17
1.546,0,242.08,6.4,0,0,0
1.242,0.094,238.75,5.2,0,1,18
0.25,0,251.07,1,0,0,0
0.296,0.08,242.71,1.2,0,0,0
1.318,0.088,240.26,5.6,0,0,18
2.736,0.278,236.3,11.6,0,1,17
0.432,0.056,239,1.8,0,0,1
2.324,0.314,237.54,9.8,0,0,29
0.334,0.24,240.81,1.6,0,1,1
0.138,0,239.14,0.6,0,0,1
1.72,0.256,240.87,7.4,0,0,23
0.236,0,243.35,1,0,0,1
3.638,0,243.3,14.8,0,37,18
1.588,0.326,246.42,6.4,0,1,18
0.206,0.05,244.28,0.8,0,0,0
1.97,0.178,239.41,8.4,0,0,21
0.27,0.216,240.2,1.4,0,2,0
0.35,0.078,248.17,1.4,0,0,0
0.416,0.098,241.29,1.8,0,0,0
1.472,0.07,239.2,6.2,0,0,18
1.302,0.212,238.22,5.4,0,0,0
0.354,0,242.38,1.6,0,0,1
1.42,0.118,233.72,6,0,0,17
0.418,0.232,243.76,2,0,0,1
0.338,0.272,240.14,1.8,1,1,0
0.454,0,243.6,1.8,0,1,0
0.336,0.118,245.48,1.4,0,1,1
1.404,0.08,241.06,5.8,0,3,0
1.386,0.232,242.36,5.8,0,2,19
2.294,0.052,241.89,9.4,0,1,18
0.238,0.156,235.85,1.2,0,1,0
3.878,0.072,237.12,16.2,2,41,17
0.252,0,245.3,1,0,0,1
0.272,0,240.54,1.2,0,0,0
1.33,0,241.32,5.4,0,0,18
0.204,0,239.8,0.8,0,0,0
0.34,0.144,244.84,1.4,0,0,1
0.376,0.126,241.55,1.6,1,1,1
1.392,0.072,239.92,5.8,0,0,17
0.304,0.094,242.92,1.4,0,0,1
0.252,0,241.37,1,0,0,0
2.046,0.192,239.45,8.6,0,0,18
1.34,0.442,238.65,6,0,0,0
0.38,0.24,241.21,1.8,0,2,1
1.498,0.184,237.53,6.2,0,0,17
2.832,0.102,238.98,11.8,0,0,17
0.23,0,246.1,1,0,0,0
0.124,0,242.04,0.6,0,0,0
0.22,0,244.74,0.8,0,0,0
0.314,0.126,241.09,1.4,0,1,0
0.396,0.224,244.69,1.8,0,1,0
1.422,0.102,238.71,6,0,0,18
0.392,0.208,240.93,1.8,0,0,0
3.116,0,239.29,13,0,0,0
1.026,0.45,246.21,4.4,0,0,11
0.276,0.05,251.17,1.2,0,0,0
0.248,0.142,240.84,1.2,0,0,1
0.14,0,244.19,0.6,0,0,0
1.568,0.054,242.4,6.4,1,0,19
1.966,0.144,235.89,8.2,0,0,11
3.308,0.366,238.19,14,1,23,18
1.098,0,236.32,4.6,0,0,0
2.878,0.066,242.34,11.8,0,0,18
0.434,0.186,240.83,2,0,0,1
0.242,0,245.22,1,0,0,0
1.562,0.198,242.15,6.4,1,1,18
0.344,0.076,240.53,1.4,0,0,1
0.154,0,241.9,0.6,0,0,0
0.42,0,241.52,2,0,0,0
0.422,0.092,244.39,1.8,0,0,0
1.458,0.082,239.94,6,0,0,18
2.312,0.058,240.28,9.6,0,0,18
1.34,0.05,241.01,5.4,0,0,0
0.34,0.076,236.23,1.6,0,0,0
1.416,0.118,242.31,5.8,0,1,1
0.246,0.128,240.18,1.2,0,0,0
0.626,0.054,240.65,2.6,0,0,0
0.376,0.23,243.35,1.8,0,1,1
0.23,0.134,238.51,1,0,1,1
2.49,0.514,241.43,10.6,0,0,0
0.262,0.284,243.85,1.4,0,1,1
0.272,0.08,245.63,1.2,0,0,0
0.454,0.164,239.03,2,0,0,0
1.266,0.064,238.06,5.2,0,0,18
0.266,0.048,245.23,1.2,0,0,0
2.066,0.104,239.69,8.6,0,0,19
3.296,0.264,237.06,14,38,0,1
0.244,0.124,244.54,1,0,0,1
0.232,0.13,240.21,1,0,0,1
1.22,0.054,237.27,5,0,0,18
0.25,0.118,240.21,1.2,0,0,0
0.102,0,236,0.4,0,0,0
2.794,0.22,239.47,12.4,18,1,18
5.638,0.234,238.71,23.8,38,0,18
1.46,0.052,240.17,6,0,0,18
0.38,0.176,239.3,1.6,0,0,0
0.332,0.1,241.74,1.4,0,0,0
0.214,0.09,242.46,1,0,0,1
1.622,0.224,236.52,6.8,0,4,18
0.352,0,241.51,1.4,0,0,0
1.434,0.096,241.45,7.2,0,0,0
1.378,0.14,231.91,6.2,0,22,0
0.276,0.2,237.6,1.4,0,0,0
0.344,0.088,237.96,1.6,0,1,0
1.364,0,238,5.6,0,0,18
0.294,0,240.83,1.2,0,0,0
1.212,0.088,234.93,5,0,1,17
2.088,0.078,241.49,8.6,1,0,0
0.124,0,236.39,0.6,0,0,0
4.274,0.188,236.17,18.6,0,0,17
0.248,0,242.02,1,0,0,0
1.912,0,249.13,7.6,0,0,19
0.306,0.126,245,1.4,0,2,0
0.216,0.11,243.56,1,0,0,0
0.346,0.326,241.85,2,0,1,0
0.382,0,244.57,1.8,0,0,0
2.004,0,243.39,8.2,2,1,18
0.174,0.146,238.63,0.8,0,0,1
0.302,0.1,243.82,1.2,0,1,0
0.42,0.24,247.7,1.8,0,1,1
1.7,0.06,239.53,7,0,0,18
1.314,0.128,237.89,5.6,0,0,0
0.448,0.34,240.31,2.2,0,2,0
0.492,0.188,243.06,2.2,0,1,1
3.432,0.082,239.98,14.2,0,2,17
0.328,0.072,240.06,1.4,0,1,0
0.356,0.126,244.54,1.6,0,0,1
2.128,0.1,240.75,8.8,0,0,17
2.344,0.272,241.49,10.8,0,16,0
1.44,0,242.38,5.8,0,0,19
1.504,0.344,242.29,6.4,1,2,1
0.824,0.296,241.02,3.6,0,4,0
1.578,0.198,239.62,6.6,0,0,18
4.05,0.358,234.57,18,15,0,0
0.416,0.21,237.98,1.8,0,2,1
0.258,0,239.7,1.2,0,0,0
0.27,0,239.83,1.2,0,0,0
1.332,0.074,236.31,5.6,0,1,0
2.76,0.112,236.11,11.6,37,0,1
0.37,0.156,234.79,1.6,0,1,0
0.202,0.11,241.96,1,0,0,0
0.182,0.114,240.05,0.8,0,1,0
0.392,0.214,240.15,1.8,0,0,0
0.502,0,240.82,2,0,0,0
0.21,0.13,239.08,1,0,1,1
0.628,0.308,246.2,2.8,0,1,0
1.342,0.066,227.46,6,0,0,16
0.388,0.136,245.48,1.8,0,0,0
0.246,0.068,242.34,1,0,0,0
0.304,0.056,243.63,1.2,0,0,0
0.22,0,244.63,0.8,0,0,0
0.314,0.212,239.71,1.6,0,0,1
1.854,0.088,241,7.6,0,0,18
1.304,0,239.51,5.4,0,0,18
0.314,0.228,239.56,1.6,0,0,1
0.302,0,241.13,1.4,0,0,1
1.998,0,239.13,8.2,0,0,18
1.212,0.084,241.37,5,0,0,1
1.376,0.066,244.69,5.6,0,0,19
0.392,0.106,241.02,1.6,0,0,0
1.348,0.064,237.5,5.6,0,0,17
0.174,0,240.31,0.8,0,0,0
1.168,0.056,235.82,5,0,0,0
0.36,0.218,241.69,1.6,0,1,1
0.104,0,241.82,0.4,0,0,0
0.236,0.116,244.23,1,0,1,0
0.212,0.114,243.21,1,0,1,0
0.112,0,236.18,0.6,0,0,0
2.59,0.074,239.59,10.8,0,0,17
1.53,0.312,240.68,6.4,0,1,18
0.332,0.23,242.14,1.6,0,1,0
1.85,0,236.97,7.8,1,0,1
1.648,0.236,239.87,6.8,0,0,0
0.596,0.342,243.57,2.8,0,1,0
1.808,0,234.59,7.6,1,0,17
3.514,0.178,236,14.8,37,0,17
0.33,0.116,243.49,1.4,0,2,0
0.216,0.106,240,1,0,2,1
0.25,0,244.06,1,0,0,0
1.524,0.112,247.21,6.2,0,0,19
0.246,0,243.19,1.2,0,0,0
0.234,0,247.14,0.8,0,0,1
0.342,0.076,243.73,1.4,0,0,0
0.266,0.156,242.56,1.4,0,0,0
1.398,0.098,241.96,5.8,0,2,18
1.376,0,241.65,5.6,0,0,18
1.654,0.204,241.2,6.8,0,1,0
3.264,0.182,242.55,13.4,23,0,0
0.284,0.068,242.89,1.2,0,0,0
0.248,0,246.82,1,0,0,1
1.384,0.082,240.54,5.6,0,2,18
0.516,0.166,241.53,2.2,0,2,0
3.774,0.58,235.76,16.4,0,27,0
0.236,0.12,244.15,1,0,0,1
0.204,0,241.25,0.8,0,0,0
2.016,0.46,239.11,8.6,2,1,18
0.436,0.19,240.55,2,0,1,1
2.374,0,246.88,10.4,13,1,19
3.398,0.232,239.77,14.2,0,1,0
3.912,0.132,235.43,16.6,37,1,17
3.326,0.428,239.55,14,1,1,18
0.32,0.07,242.26,1.4,0,0,0
1.284,0.772,244.87,6.4,0,0,0
0.34,0.062,239.94,1.4,0,1,0
0.294,0.096,243.63,1.2,0,1,0
1.774,0.114,237.57,7.4,0,0,17
0.11,0,241.44,0.6,0,0,0
2.484,0.142,239.75,10.4,0,0,18
0.3,0.102,240.25,1.4,0,0,1
0.312,0.094,241.21,1.4,0,0,0
0.464,0.314,241.47,2.2,0,1,0
3.554,0.226,236.46,15,0,0,17
0.304,0,245.59,1.4,0,0,0
1.096,0,232.37,4.6,0,0,16
0.32,0.11,245.7,1.4,0,0,1
0.214,0.062,245.42,0.8,0,0,0
0.326,0.11,244.21,1.4,0,0,0
0.244,0.092,243.79,1,0,0,1
2.84,0.172,237.67,12,0,1,17
0.252,0.13,241.06,1.2,0,0,1
1.39,0.052,241.55,5.6,0,0,18
0.168,0,239.84,0.8,0,0,1
2.15,0.052,237.89,9,0,0,18
0.236,0,241.05,1,0,0,0
2.854,0.112,241.29,11.8,38,1,0
0.538,0.056,241.81,2.2,0,0,0
2.946,0.114,239.73,12.2,1,0,17
0.08,0,239.46,0.2,0,0,1
0.18,0.064,241.5,0.8,0,0,1
0.476,0.304,236.09,2.4,0,1,0
1.446,0.122,243.77,5.8,0,0,18
1.31,0,238.56,5.4,0,0,18
3.24,0.212,241.99,13.8,39,0,0
0.232,0.092,242.99,1,0,0,1
0.462,0.324,242.55,2.2,0,1,0
1.036,0.064,241.37,4.2,0,0,0
1.434,0.066,243.05,5.8,0,0,18
1.444,0,239.85,6,0,0,19
0.226,0,244.3,1,0,0,0
0.242,0.134,240.83,1,0,0,1
1.1,0.408,241.43,4.8,0,0,13
0.308,0.094,244.34,1.2,0,0,0
1.774,0.07,239.42,7.4,0,0,18
2.474,0.398,239.06,11,1,24,1
0.284,0.244,241.03,1.4,0,0,0
3.196,0.094,241.06,13.2,0,0,29
2.388,0,244.2,9.8,0,0,0
0.596,0.128,240.13,2.6,0,0,1
0.256,0.116,240.27,1.2,0,0,0
1.466,0.09,241.92,6,0,0,19
3.23,0.306,235.7,13.6,38,0,1
2.25,0.154,237.48,9.4,0,1,18
0.658,0.214,244.09,2.8,0,2,1
0.832,0.344,238.64,3.8,0,2,11
1.016,0,241.39,4.6,0,1,13
0.334,0.104,246.02,1.4,0,0,0
0.158,0,239.99,0.6,0,0,1
1.362,0.102,239.57,5.6,0,1,18
0.28,0.226,239.6,1.4,0,0,0
1.546,0.13,240.35,6.4,1,2,19
1.28,0,241.34,5.2,0,0,18
3.988,0.46,244.74,16.6,0,34,30
1.34,0,239.87,5.6,0,0,17
0.128,0,237.57,0.6,0,0,0
1.908,0.052,239.24,8,0,0,0
1.814,0.336,241.5,9.4,25,1,1
0.26,0.14,242.31,1.2,0,0,1
1.54,0.094,240.62,6.4,0,2,18
0.33,0.208,244.93,1.6,0,1,1
1.542,0.06,240.74,6.4,0,0,19
0.328,0.246,243.31,1.6,0,1,0
1.55,0.198,240.05,6.4,0,0,19
0.214,0,238.38,0.8,0,0,0
2.026,0.246,242.61,8.4,0,1,26
1.496,0.21,240.93,6.2,0,1,19
0.316,0.13,243.67,1.4,0,0,0
1.118,0.054,243.05,4.6,0,1,1
0.976,0.262,242.44,4.2,0,0,11
0.318,0.192,244.78,1.6,0,1,1
0.27,0,240.86,1.2,0,0,0
2.862,0.178,238.17,12,0,2,17
1.53,0.192,238.65,6.4,0,1,18
0.408,0.222,245.46,1.8,0,0,0
2.55,0.458,244.12,10.6,0,0,18
0.36,0,238.89,1.4,0,0,1
0.266,0,241.55,1,0,0,0
0.338,0.096,244.83,1.4,0,0,1
0.26,0.082,234.05,1.2,0,0,0
0.19,0.092,239.02,0.8,0,0,0
1.362,0.058,243.47,5.6,0,0,18
0.318,0.08,241.09,1.4,0,0,0
0.892,0.05,235.71,3.8,0,0,0
0.28,0.05,242.52,1.2,0,0,0
1.284,0,241.56,5.2,0,1,18
0.248,0,239.11,1,0,0,0
1.532,0.326,241.34,6.4,1,1,19
0.67,0.244,243.01,3,0,0,1
0.32,0.2,235.51,1.6,0,1,0
0.534,0.106,244.9,2.2,0,0,1
0.286,0.12,243.47,1.2,0,0,0
0.326,0.274,241.47,1.8,0,2,0
1.898,0.082,241.28,7.8,1,0,18
0.978,0.288,241.02,4.2,0,0,11
1.434,0.086,240.96,5.8,0,0,18
1.338,0.194,239.61,5.6,0,1,18
0.66,0.058,239.33,2.8,0,0,1
0.406,0.222,237.91,2,0,1,0
0.274,0.152,242.99,1.4,0,1,0
0.282,0.1,238.26,1.2,0,0,1
1.38,0.064,233.37,5.8,0,0,18
0.108,0,234.97,0.6,0,0,0
1.044,0.084,243.03,4.4,0,0,0
1.316,0.092,233.78,5.6,0,0,17
1.768,0.246,240.22,7.4,1,0,18
0.598,0.07,246.1,2.4,0,0,0
0.23,0,247.77,1,0,0,0
1.662,0.196,240.56,7,0,0,18
3.17,0.07,240.81,13,38,0,0
0.2,0,238.84,0.8,0,0,0
0.33,0.124,242.32,1.4,0,0,0
0.304,0.136,246.05,1.4,0,0,0
2.21,0.174,236.12,9.4,0,0,17
0.876,0.302,240.31,3.8,0,0,0
0.282,0.046,242.22,1.2,0,0,0
1.054,0.412,241.19,4.6,0,1,13
1.578,0.088,239.62,6.6,0,0,18
0.104,0,236.2,0.4,0,0,0
0.22,0,241.69,1,0,0,0
0.234,0,246.11,1,0,0,0
0.204,0,241.92,0.8,0,0,0
1.734,0,246.96,7,1,0,0
0.788,0.258,247.19,3.4,0,0,1
1.472,0.08,236.44,6.2,0,0,1
0.69,0.066,246.63,2.8,0,0,1
0.308,0.07,235.51,1.2,0,0,0
0.304,0.056,239.98,1.2,0,0,0
3.082,0.124,238.13,13,0,0,17
4.034,0.446,238.82,17,39,0,0
1.858,0.224,240.2,7.8,2,0,18
3.24,0.254,243.85,13.4,0,23,19
3.118,0.06,238.4,13.4,1,0,18
0.156,0,241.29,0.6,0,0,0
0.302,0.062,242.32,1.2,0,0,0
0.338,0,242.25,1.6,0,0,0
0.228,0.118,242.2,1,0,2,1
1.754,0.504,241.56,7.4,1,1,0
1.742,0.292,243.83,7.2,0,0,18
0.492,0,237.72,2,0,0,0
0.328,0.094,242.96,1.4,0,1,1
0.32,0.114,243.49,1.4,0,0,1
1.992,0,236.25,8.4,0,0,0
1.368,0.062,242.4,5.6,0,0,18
0.35,0,235.14,1.8,0,0,1
1.476,0.052,240.53,6,0,0,17
3.196,0.444,240.28,13.4,0,1,18
0.26,0.094,240.12,1.2,0,0,1
0.27,0,235.35,1.2,0,0,0
0.154,0,240.13,0.6,0,0,0
0.242,0,244.65,1,0,0,0
1.846,0.314,238.89,7.8,0,2,0
0.236,0.246,241.56,1.4,0,1,1
0.38,0,239.25,1.6,1,0,0
0.364,0.114,242.63,1.6,0,2,0
0.264,0.156,241.39,1.2,0,0,1
0.326,0.094,246.87,1.4,0,0,0
0.29,0.24,242.1,1.4,0,0,0
0.31,0,244,1.4,0,0,1
2.338,0.054,239.03,9.8,0,2,17
0.242,0.112,242.29,1,0,1,0
0.262,0.104,242.34,1.2,0,1,0
2.036,0.338,237.95,9.2,0,0,0
0.334,0.232,240.55,1.6,0,1,1
2.302,0.292,234.71,11,10,0,17
1.408,0.062,244.47,5.6,0,0,19
0.276,0.228,241.37,1.4,0,1,1
4.966,0.354,235.01,21,37,2,17
1.36,0.054,240.51,5.6,0,0,18
4.072,0.38,245.47,16.6,2,39,18
0.218,0,244.39,0.8,0,0,0
2.522,0.188,235.63,10.8,2,0,18
0.218,0.096,242.93,1,0,1,0
0.534,0,240.53,2.2,0,0,0
2.874,0,240.52,11.8,0,0,18
0.238,0,240.99,1,0,0,0
1.432,0.184,239.06,6,0,0,18
0.216,0.1,239.58,1,0,0,0
0.344,0.15,242.71,1.6,0,0,0
1.472,0.196,236.75,6.2,1,0,18
0.262,0.046,244.85,1.2,0,0,0
1.464,0.066,246.38,5.8,0,0,0
1.352,0.176,234.03,5.8,1,0,17
1.448,0,236.73,6,1,0,1
0.322,0.09,240.19,1.4,0,0,0
1.534,0.164,238.67,6.4,0,1,18
0.626,0.158,242.03,2.6,0,1,1
0.208,0,244.11,0.8,0,0,0
3.09,0.314,238.37,13.2,0,25,17
1.632,0,233.37,7,0,0,0
0.568,0.324,241.82,2.8,0,1,1
0.76,0.264,237.64,3.4,0,0,0
0.372,0.124,243.82,1.6,0,0,0
1.39,0.076,240.7,5.8,0,0,18
0.29,0.07,239.69,1.2,0,1,0
0.304,0.068,240.12,1.2,0,0,1
0.4,0.112,243.94,1.8,0,0,0
2.738,0.164,239.67,11.4,38,0,0
1.27,0.108,239.04,5.2,0,0,18
0.508,0.38,245.89,2.6,0,1,1
0.198,0.138,242.32,1,0,0,0
0.356,0.14,244.48,1.6,0,0,0
3.352,0,238.35,14,1,0,18
0.194,0.09,243.59,0.8,0,0,0
0.28,0.298,240.5,1.6,0,2,1
1.53,0.214,240,6.4,0,2,18
0.276,0.096,231.39,1.2,0,0,0
1.328,0.048,237.77,5.6,0,2,17
1.446,0.066,237.49,6.2,0,0,18
0.13,0,240.99,0.6,0,0,0
1.024,0.13,242.11,4.2,0,0,0
0.112,0,241.8,0.4,0,0,0
0.788,0.256,245.5,3.4,0,2,1
0.352,0.114,242.29,1.4,0,0,0
0.268,0,242.14,1.2,0,0,1
1.55,0.278,241.75,6.4,0,1,18
0.296,0,243.35,1.4,0,0,1
2.066,0.184,238.24,8.6,0,0,18
1.62,0,238.61,6.8,0,0,18
0.516,0.11,234.06,2.2,0,0,0
0.22,0.064,245.14,1,0,0,0
2.446,0.326,236.5,11.2,13,0,18
0.322,0,244.41,1.4,0,0,1
0.204,0.054,241.15,0.8,0,0,0
0.232,0.11,242.68,1,0,1,1
0.108,0,240.67,0.4,0,0,0
0.082,0,241.62,0.2,0,0,1
0.178,0.082,240.66,0.8,0,0,0
1.464,0.076,236.69,6.2,0,1,17
1.7,0.096,245.21,7,0,0,1
1.182,0.268,242.65,6.2,0,17,1
1.312,0.114,241.41,5.4,0,0,18
3.146,0.144,241.82,13.2,0,2,18
1.534,0.054,240.64,6.4,0,0,18
1.546,0.138,238.16,6.6,0,2,18
0.242,0.136,240.93,1.2,0,0,0
0.286,0.092,239.71,1.2,0,1,0
0.402,0.182,247.78,1.8,0,0,0
0.422,0.208,240.33,2,0,0,1
1.938,0.234,236.4,8.2,0,0,29
0.48,0.214,242.97,2.2,0,0,0
0.296,0.062,238.57,1.2,0,0,0
1.994,0.576,240.72,8.6,0,0,0
1.448,0.174,239.83,6,0,0,17
0.378,0.206,244.02,1.8,0,0,0
0.216,0,238.65,0.8,0,0,0
0.176,0.08,239.91,0.8,0,1,0
0.882,0.098,241.62,3.6,0,0,1
0.302,0.112,243.26,1.2,0,0,0
0.312,0.108,240.96,1.4,0,0,0
1.122,0.07,243.27,4.6,0,0,1
2.422,0.058,246.46,9.8,0,0,18
0.554,0.11,239.22,2.4,0,1,0
1.838,0.348,241.51,7.6,0,1,1
1.39,0.208,239.46,5.8,1,1,0
0.686,0.204,241.47,3,0,0,0
0.182,0.098,242.38,0.8,0,1,0
0.662,0.374,243.83,3,0,3,0
0.992,0.102,242.96,4,0,0,0
0.41,0.2,241.52,1.8,0,0,0
1.354,0.062,239.53,5.6,0,1,18
1.878,0.046,237.6,7.8,0,0,17
2.408,0.05,239.81,10,0,1,17
2.678,0,240.09,11.2,1,0,18
1.554,0.068,239.9,6.4,0,0,18
1.486,0,236.25,6.2,0,0,18
1.886,0.354,237.58,9,17,0,1
1.648,0.104,237.5,7,0,5,17
1.868,0,234.08,8,0,0,29
1.392,0.18,231.82,6,0,1,16
0.566,0.222,246.22,2.4,0,1,0
1.52,0.194,239.96,6.4,0,0,18
4.526,0.472,236.77,19.2,37,1,17
0.288,0,236.53,1.2,0,0,0
0.48,0.054,241.93,2,0,0,0
1.402,0,242.9,5.6,0,0,19
0.602,0.07,244.85,2.6,0,0,0
0.5,0.336,242.26,2.4,1,4,0
0.502,0,240.76,2,0,0,0
1.332,0.134,242.21,5.4,0,0,19
0.13,0,241.92,0.6,0,0,0
0.45,0.08,250.37,1.8,0,0,0
3.702,0,233.79,16,0,27,17
1.93,0.17,239.27,8,0,0,30
1.46,0.072,230.46,6.2,0,0,16
2.044,0,239.2,8.4,0,0,0
0.46,0.314,243.3,2.2,0,1,0
1.42,0.098,238.9,5.8,0,0,18
0.716,0.054,236.08,3,0,2,0
1.278,0.108,236.87,5.4,0,0,18
0.592,0.09,236.76,2.4,0,1,0
0.162,0,240.82,0.8,0,1,1
0.324,0,238.43,1.4,0,0,0
1.056,0.302,239.46,4.6,0,0,11
4.412,0.382,236.57,18.8,0,32,18
1.29,0.224,239.08,5.4,0,0,1
1.306,0,241.72,5.4,0,0,1
2.662,0,241.89,11,0,36,0
0.346,0.204,241.11,1.8,0,0,1
4.016,0.4,237.98,16.8,1,38,18
0.284,0.226,243.1,1.4,0,1,1
0.422,0.232,241.33,2,1,0,1
1.4,0.068,243,5.6,0,0,18
1.43,0.076,246.16,5.8,0,0,18
0.282,0.148,240.68,1.4,0,0,1
1.56,0.08,240.08,6.4,0,0,17
0.694,0,239.32,2.8,0,0,1
0.334,0.1,241.03,1.4,0,0,0
1.262,0,239.45,5.2,0,0,18
0.354,0.114,242.89,1.4,0,0,0
0.836,0.304,241.56,3.6,0,2,1
0.206,0,241.64,0.8,0,0,0
1.55,0.22,245.31,6.4,0,1,19
0.278,0.198,235.57,1.4,0,1,0
1.476,0.234,243.74,6,0,1,0
0.296,0.228,240.05,1.6,0,0,0
5.412,0.208,242.1,22.4,45,0,18
0.434,0.182,245.5,1.8,0,0,1
0.906,0.224,239.06,3.8,0,0,12
0.72,0.2,237.88,3.2,1,0,1
0.16,0,241.14,0.6,0,0,1
0.222,0.112,236.04,1,0,0,0
0.246,0,243.68,1,0,0,1
0.586,0,243.1,2.4,0,0,0
1.498,0.076,240.22,6.2,0,0,18
1.388,0.082,240.46,5.8,0,2,19
1.32,0,240.65,5.4,0,0,18
0.356,0.102,245.01,1.4,0,0,1
0.428,0.266,243.16,2,0,1,0
1.81,0.086,236.53,7.6,0,0,18
3.13,0.158,237,13.8,0,19,17
0.374,0.212,243.33,1.6,0,1,0
1.066,0.076,238.89,4.6,0,0,0
2.994,0,232.83,13,0,30,0
0.262,0,247.05,1,0,0,1
0.304,0.07,240.59,1.2,0,0,0
0.24,0.112,239.64,1,0,0,1
1.288,0.052,241.13,5.2,0,0,18
2.282,0.054,241.77,9.4,0,0,19
0.526,0.054,245.86,2.2,0,0,0
1.154,0.354,239.03,5,0,0,0
0.384,0.196,243.66,1.8,0,1,0
0.556,0,239.79,2.4,0,0,0
0.246,0.176,236.41,1.2,0,1,0
0.126,0,237.78,0.6,0,0,0
0.244,0,243.71,1,0,0,0
0.374,0.306,235.68,2,0,2,0
1.532,0.202,243.06,6.2,0,0,19
0.324,0.22,240.1,1.6,0,0,1
4.396,0,231.84,19,0,1,17
0.258,0,242.1,1,0,0,1
3.41,0.214,234.35,14.6,2,1,16
3.068,0,241.06,12.6,0,0,18
0.264,0,235.96,1.2,0,0,1
0.592,0.256,246.11,2.8,0,0,0
1.708,0.07,243.46,7,0,0,19
0.328,0.112,244.31,1.4,0,0,0
1.978,0.068,239.93,8.2,0,0,0
0.216,0.09,243.67,1,0,0,1
0.184,0.156,242.53,1,0,0,1
0.344,0.202,241.9,1.6,0,0,1
2.328,0.288,239.25,9.8,0,0,17
1.556,0.11,244.68,6.4,0,1,19
0.394,0.21,244.1,1.8,0,2,0
0.242,0.1,237.68,1,0,0,0
0.146,0,238.59,0.6,0,0,1
0.734,0.108,240.77,3,0,0,0
0.498,0.212,240.32,2.4,0,2,0
0.13,0,238.9,0.6,0,0,0
0.082,0,241.18,0.2,0,0,0
1.976,0,240.39,8.2,0,0,1
0.456,0.362,242.18,2.4,1,1,0
0.312,0.056,227.08,1.4,0,1,1
3.02,0,238.87,14,0,0,1
0.26,0.216,240.97,1.4,0,0,0
0.4,0.092,242.11,1.6,0,0,1
0.292,0.08,240.7,1.2,0,1,0
0.616,0.314,246.61,3,0,0,0
1.034,0.244,232.14,4.6,0,2,12
0.428,0.098,241.81,1.8,0,0,1
0.204,0.106,240.6,1,0,0,0
1.412,0.084,241.09,5.8,0,0,19
0.14,0,243.64,0.6,0,0,1
